Designator,Mid X,Mid Y,Layer,Rotation,Comment
C2,129.1000,72.9000,top,180,10u
C3,133.4000,72.9000,top,0,10u
C4,110.8710,117.4000,top,-90,0.01u
C5,107.7000,111.7000,top,90,10u
C6,112.9000,111.7000,top,90,0.01u
C7,140.8512,103.2000,top,90,0.01u
D1,115.8000,83.4000,top,0,MB6F
F1,111.7000,80.0000,top,0,SMD0805-020-16V
FB1,108.0770,116.2000,top,180,FerriteBead
FB2,108.0770,118.6000,top,180,FerriteBead
FB3,143.7912,104.4600,top,0,FerriteBead
FB4,143.7912,102.0600,top,0,FerriteBead
J6,167.9000,82.3750,top,-90,TFT_1.47
Q2,148.0000,80.9683,top,180,MMBT3906
Q4,138.1000,80.9683,top,180,MMBT3906
R1,117.7000,111.9000,top,-90,220R
R6,110.3000,111.9000,top,-90,10k
R7,127.5000,120.0000,top,-90,10k
R8,138.5000,120.0000,top,-90,10k
R9,154.5000,120.0000,top,-90,10k
R10,149.0000,92.2000,top,90,220R
R11,146.5000,92.2000,top,90,220R
R12,143.9000,92.2000,top,90,220R
R13,141.4000,92.2000,top,90,220R
R14,138.8000,92.2000,top,90,220R
R15,138.9000,72.9000,top,-90,220R
R16,143.9000,72.9000,top,-90,220R
R17,146.4000,72.9000,top,-90,220R
R18,148.2000,85.6839,top,180,1k
R20,138.2000,85.6839,top,0,1k
U2,116.0000,99.8000,top,90,ESP32-WROOM-32U
U3,114.9000,117.6000,top,-90,MAX31855KASA
U4,131.2000,79.3000,top,-90,AMS1117-3.3
U6,135.6600,103.2000,top,90,MAX31855KASA
