Ref,Val,Package,PosX,PosY,Rot,Side
"DS1","FJ4301BH","FJ4301BH",142.625000,-82.375130,180.000000,bottom
"SW1","SW_Push","SW-TH_D6C10F1LFS",157.000000,-114.000000,180.000000,bottom
"SW2","SW_Push","SW-TH_D6C10F1LFS",141.000000,-114.000000,180.000000,bottom
"SW3","SW_Push","SW-TH_D6C10F1LFS",125.000000,-114.000000,180.000000,bottom
"C1","1000u","CP_Radial_D10.0mm_P5.00mm",122.000000,-78.267677,90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.100000,-72.900000,180.000000,top
"C3","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.400000,-72.900000,0.000000,top
"C4","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.871000,-117.400000,-90.000000,top
"C5","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.700000,-111.700000,90.000000,top
"C6","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",112.900000,-111.700000,90.000000,top
"C7","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.851250,-103.200000,90.000000,top
"CCBB1","100n","C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4",197.800000,-118.500000,90.000000,top
"D1","MB6F","MB-F",115.800000,-83.400000,0.000000,top
"F1","SMD0805-020-16V","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.700000,-80.000000,0.000000,top
"FB1","FerriteBead","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",108.077000,-116.200000,180.000000,top
"FB2","FerriteBead","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",108.077000,-118.600000,180.000000,top
"FB3","FerriteBead","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.791250,-104.460000,0.000000,top
"FB4","FerriteBead","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.791250,-102.060000,0.000000,top
"J1","VH-2A","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",104.100000,-84.000000,90.000000,top
"J2","VH-3A2","JST_VH_B2P3-VH_1x02_P7.92mm_Vertical",199.900000,-94.650000,-90.000000,top
"J3","VH-3A2","JST_VH_B2P3-VH_1x02_P7.92mm_Vertical",199.900000,-81.650000,-90.000000,top
"J4","XH-A2","CONN-TH_XH-2A",102.750000,-117.430000,-90.000000,top
"J5","HDR-M-2.54_2x3","PinHeader_2x03_P2.54mm_Vertical",108.675000,-74.075000,90.000000,top
"J6","TFT_1.47","Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal",167.900000,-82.375000,-90.000000,top
"J7","PROBE_BRK","PinHeader_1x06_P2.54mm_Vertical",109.010000,-127.680000,90.000000,top
"J8","EXT_TC","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",149.331250,-104.470000,90.000000,top
"J9","TFT_1.47","PinHeader_1x08_P2.54mm_Vertical",155.670000,-89.660000,90.000000,top
"Q1","BTA16-600BRG","TO-220-3_Horizontal_TabUp",183.200000,-94.055000,180.000000,top
"Q2","MMBT3906","SOT-23",148.000000,-80.968344,180.000000,top
"Q3","MMBT3906","SOT-23",143.200000,-80.968344,180.000000,top
"Q4","MMBT3906","SOT-23",138.100000,-80.968344,180.000000,top
"R1","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.700000,-111.900000,-90.000000,top
"R3","30R","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",183.500000,-118.900000,100.000000,top
"R4","330R","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",178.150000,-99.700000,0.000000,top
"R5","100R","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",190.906194,-118.460458,110.000000,top
"R6","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",110.300000,-111.900000,-90.000000,top
"R7","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",127.500000,-120.000000,-90.000000,top
"R8","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.500000,-120.000000,-90.000000,top
"R9","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",154.500000,-120.000000,-90.000000,top
"R10","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.000000,-92.200000,90.000000,top
"R11","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.500000,-92.200000,90.000000,top
"R12","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.900000,-92.200000,90.000000,top
"R13","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",141.400000,-92.200000,90.000000,top
"R14","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.800000,-92.200000,90.000000,top
"R15","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.900000,-72.900000,-90.000000,top
"R16","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.900000,-72.900000,-90.000000,top
"R17","220R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.400000,-72.900000,-90.000000,top
"R18","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",148.200000,-85.683858,180.000000,top
"R19","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.200000,-85.683858,0.000000,top
"R20","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.200000,-85.683858,0.000000,top
"U1","MOC3041M","DIP-6_W7.62mm_LongPads",171.100000,-113.900000,0.000000,top
"U2","ESP32-WROOM-32U","ESP32-WROOM-32U",116.000000,-99.800000,90.000000,top
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",114.900000,-117.600000,-90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",131.200000,-79.300000,-90.000000,top
"U6","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",135.660000,-103.200000,90.000000,top
